Borough,Name,Website,Location,Citymap Location,Site Type,Container Type,Materials Accepted,NYC Compost
BK,Church Avenue Communal Garden,http://www.sustainableflatbush.org/2011/05/13/church-avenue-communal-garden-may-2011-update,"Church Avenue and Flatbush Avenue, 11226","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=995708,176233&c=GISBasic&s=i:CHURCH+AVENUE,FLATBUSH+AVENUE,BROOKLYN",Community Garden,"2 or 3 bin, enclosed bins","leaves, garden trimmings, food scraps",no
BK,Clifton Place Community Garden,http://www.cliftongarden.blogspot.com,"1035 Bedford Avenue, 11216","http://maps.nyc.gov/doitt/nycitymap/?z=8&p=996833,190115&c=GISBasic&s=a:1035,BEDFORD+AVENUE,BROOKLYN",Community Garden,enclosed bin,"leaves, garden trimmings, food scraps",no
BK,Compost for Brooklyn,http://www.compostforbrooklyn.org,"Newkirk Avenue and East 8th Street, 11230","http://gis.nyc.gov/doitt/nycitymap/?z=9&p=993099,170308&c=GISBasic&s=i:NEWKIRK+AVENUE,EAST+8+STREET,BROOKLYN",Community Garden,2 or 3 bin,"leaves, garden trimmings, food scraps",no
BK,Crow Hill Community Garden,http://www.crowhillcommunity.org/garden.shtml,"Franklin Avenue between Sterling Place and Park Place, 11238","http://gis.nyc.gov/doitt/nycitymap/?z=10&p=996145,184729&c=GISBasic&s=l:BROOKLYN,1168,57,PLUTO",Community Garden,1 bin,"leaves, garden trimmings, food scraps",no
BK,David Foulke Memorial Garden,,"250 Bergen Street, 11217","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=988607,188502&c=GISBasic&s=a:250,BERGEN+STREET,BROOKLYN",Community Garden,enclosed bins,"leaves, garden trimmings, food scraps",no
BK,East 4th Street Community Garden,http://eastfourthstreetgarden.wordpress.com,"179 East 4th Street, 11218","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=990604,175382&c=GISBasic&s=a:179,EAST+4+STREET,BROOKLYN",Community Garden,"2 or 3 bin, open pile, enclosed bins","leaves, garden trimmings, food scraps",no
BK,East End Community Garden,,"Glenmore Avenue and Van Siclen Avenue, 11207",,Community Garden,enclosed bin,"leaves, garden trimmings, food scraps",no
BK,East New York Farms! UCC Youth Garden,http://www.eastnewyorkfarms.org,"613 New Lots Avenue, 11207","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1015670,181536&c=GISBasic&s=a:613,NEW+LOTS+AVENUE,BROOKLYN",Community Garden,"2 or 3 bin, open pile/bin, enclosed bins","leaves, garden trimmings, food scraps",yes
BK,Eldert Street Garden,http://eldertstreetgarden.blogspot.com,"315 Eldert Street, 11237","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1010020,191841&c=GISBasic&s=a:315,ELDERT+STREET,BROOKLYN",Community Garden,2 or 3 bin,"leaves, garden trimmings, food scraps",no
BK,Flatbush CommUNITY Garden,http://www.sustainableflatbush.org,"1550 Albemarle Road, 11226","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=993956,174904&c=GISBasic&s=a:1550,ALBEMARLE+ROAD,BROOKLYN",Community Garden,varies,varies,yes
